Engelsk,Ord,IPA
computer , datamaskin (m) ,'dɑtɑ mɑˌʂin
"notebook, laptop "," bærbar, laptop (m) ","'bærˌbɑr, 'lɑptɔp"
to turn on , å slå på ,ɔ 'ʂlɔ pɔ
to turn off , å slå av ,ɔ 'ʂlɔ ɑ:
keyboard , tastatur (n) ,tɑstɑ'tʉr
key , tast (m) ,'tɑst
mouse , mus (m/f) ,'mʉs
mouse mat , musematte (m/f) ,'mʉsəˌmɑtə
button , knapp (m) ,'knɑp
cursor , markør (m) ,mɑr'kør
monitor , monitor (m) ,'mɔnitɔr
screen , skjerm (m) ,'ʂærm
hard disk , harddisk (m) ,'hɑrˌdisk
hard disk capacity , harddiskkapasitet (m) ,'hɑrˌdisk kɑpɑsi'tet
memory , minne (n) ,'minə
random access memory , hovedminne (n) ,'hɔvədˌminə
file , fil (m) ,'fil
folder , mappe (m/f) ,'mɑpə
to open (vt) , å åpne ,ɔ 'ɔpnə
to close (vt) , å lukke ,ɔ 'lʉkə
to save (vt) , å lagre ,ɔ 'lɑɡrə
to delete (vt) ," å slette, å fjerne ","ɔ 'ʂletə, ɔ 'fjæ:ɳə"
to copy (vt) , å kopiere ,ɔ kʊ'pjerə
to sort (vt) , å sortere ,ɔ sɔ:'ʈerə
to transfer (copy) , å overføre ,ɔ 'ɔvərˌførə
programme , program (n) ,prʊ'ɡrɑm
software , programvare (m/f) ,prʊ'ɡrɑmˌvɑrə
programmer , programmerer (m) ,prʊɡrɑ'merər
to program (vt) , å programmere ,ɔ prʊɡrɑ'merə
hacker , hacker (m) ,'hakər
password , passord (n) ,'pɑsˌu:r
virus , virus (m) ,'virʉs
"to find, to detect ", å oppdage ,ɔ 'ɔpˌdɑɡə
byte , byte (m) ,'bɑjt
megabyte , megabyte (m) ,'meɡɑˌbɑjt
data , data (m pl) ,'dɑtɑ
database , database (m) ,'dɑtɑˌbɑsə
"cable (USB, etc.) ", kabel (m) ,'kɑbǝl
to disconnect (vt) , å koble fra ,ɔ 'kɔblə frɑ
to connect (sth to sth) , å koble ,ɔ 'kɔblə
Internet , Internett ,'intəˌɳεt
browser , nettleser (m) ,'nεtˌlesər
search engine , søkemotor (m) ,'søkəˌmɔtʊr
provider , leverandør (m) ,levərɑn'dør
webmaster , webmaster (m) ,'vεbˌmɑstər
website ," webside, hjemmeside (m/f) ","'vεbˌsidə, 'jεməˌsidə"
webpage , nettside (m) ,'nεtˌsidə
address (e-mail ~) , adresse (m) ,ɑ'drεsə
address book , adressebok (f) ,ɑ'drεsəˌbʊk
postbox , postkasse (m/f) ,'pɔstˌkɑsə
post , post (m) ,'pɔst
full (adj) , full ,'fʉl
message , melding (m/f) ,'mεliŋ
incoming messages , innkommende meldinger ,'inˌkɔmenə 'mεliŋər
outgoing messages , utgående meldinger ,'ʉtˌɡɔənə 'mεliŋər
sender , avsender (m) ,'ɑfˌsεnər
to send (vt) , å sende ,ɔ 'sεnə
sending (of mail) , avsending (m) ,'ɑfˌsεniŋ
receiver , mottaker (m) ,'mɔtˌtɑkər
to receive (vt) , å motta ,ɔ 'mɔtɑ
correspondence , korrespondanse (m) ,kʊrespɔn'dɑnsə
to correspond (vi) , å brevveksle ,ɔ 'bʁεvˌvεkslə
file , fil (m) ,'fil
to download (vt) , å laste ned ,ɔ 'lɑstə 'ne
to create (vt) , å opprette ,ɔ 'ɔpˌrεtə
to delete (vt) ," å slette, å fjerne ","ɔ 'ʂletə, ɔ 'fjæ:ɳə"
deleted (adj) , slettet ,'ʂletət
"connection (ADSL, etc.) ", forbindelse (m) ,fɔr'binəlsə
speed , hastighet (m/f) ,'hɑstiˌhet
modem , modem (n) ,'mʊ'dεm
access , tilgang (m) ,'tilˌɡɑŋ
port (e.g. input ~) , port (m) ,'pɔ:ʈ
connection (make a ~) , tilkobling (m/f) ,'tilˌkɔbliŋ
to connect to … (vi) , å koble ,ɔ 'kɔblə
to select (vt) , å velge ,ɔ 'vεlɡə
to search (for …) , å søke etter … ,ɔ 'søkə ˌεtər …
